id_indiv;crop_diversity_type;in_degree;out_degree;degree;type_farmer;social_background;grape_richness;farm_management
3;clone;0;0;0;wine_maker;successors;10;organic
4;clone;1;0;1;wine_maker;successors;10;organic
5;clone;0;0;0;wine_maker;successors;8;organic
6;clone;2;1;3;wine_maker;successors;13;conventional
7;clone;2;0;2;wine_maker;successors;12;conventional
9;clone;1;0;1;wine_maker;successors;6;organic
10;clone;0;0;0;wine_maker;successors;21;organic
11;clone;1;0;1;wine_maker;successors;8;organic
12;clone;1;0;1;wine_maker;successors;12;conventional
13;clone;2;0;2;wine_maker;successors;11;conventional
14;clone;0;0;0;wine_maker;successors;12;conventional
15;clone;2;1;3;wine_maker;successors;12;conventional
16;clone;0;0;0;wine_maker;neo_farmer;19;organic
17;clone;0;0;0;wine_maker;neo_farmer;4;organic
18;clone;1;0;1;wine_maker;neo_farmer;6;conventional
19;clone;1;0;1;wine_maker;neo_farmer;12;conventional
20;clone;1;0;1;wine_maker;neo_farmer;5;conventional
21;clone;2;0;2;wine_maker;successors;9;organic
22;clone;0;0;0;wine_maker;neo_farmer;4;organic
23;clone;1;0;1;wine_maker;neo_farmer;5;organic
24;clone;0;0;0;wine_maker;neo_farmer;6;organic
25;clone;1;0;1;wine_maker;neo_farmer;5;organic
26;clone;3;0;3;grape_grower;neo_farmer;11;conventional
27;clone;1;0;1;grape_grower;successors;13;conventional
28;clone;1;0;1;grape_grower;successors;7;conventional
29;clone;1;0;1;grape_grower;successors;15;conventional
30;clone;3;0;3;grape_grower;successors;9;conventional
31;clone;0;0;0;grape_grower;successors;6;conventional
32;clone;1;0;1;wine_maker;neo_farmer;6;organic
33;clone;2;0;2;wine_maker;successors;9;organic
34;clone;1;0;1;wine_maker;successors;5;organic
35;clone;0;0;0;wine_maker;neo_farmer;6;organic
36;clone;1;0;1;grape_grower;successors;9;organic
37;clone;2;0;2;grape_grower;successors;12;conventional
38;clone;2;0;2;grape_grower;neo_farmer;12;conventional
39;clone;1;0;1;grape_grower;successors;12;conventional
40;clone;3;0;3;grape_grower;neo_farmer;7;organic
41;clone;3;0;3;grape_grower;successors;13;conventional
42;clone;1;0;1;grape_grower;successors;10;organic
43;clone;3;0;3;grape_grower;successors;2;conventional
44;clone;1;0;1;grape_grower;neo_farmer;8;conventional
45;clone;2;0;2;grape_grower;successors;9;conventional
46;clone;2;0;2;grape_grower;successors;9;conventional
47;clone;1;0;1;grape_grower;successors;11;organic
48;clone;1;0;1;grape_grower;successors;10;conventional
49;clone;1;0;1;grape_grower;successors;10;conventional
50;clone;3;0;3;grape_grower;successors;9;conventional
51;clone;1;0;1;grape_grower;neo_farmer;10;organic
52;clone;3;0;3;grape_grower;successors;10;conventional
53;clone;3;0;3;grape_grower;successors;6;conventional
