id_indiv;crop_diversity_type;in_degree;out_degree;degree;type_farmer;social_background;grape_richness;farm_management
3;rootstock;0;0;0;wine_maker;successors;10;organic
4;rootstock;2;0;2;wine_maker;successors;10;organic
5;rootstock;1;0;1;wine_maker;successors;8;organic
6;rootstock;2;0;2;wine_maker;successors;13;conventional
7;rootstock;1;0;1;wine_maker;successors;12;conventional
9;rootstock;4;0;4;wine_maker;successors;6;organic
10;rootstock;2;0;2;wine_maker;successors;21;organic
11;rootstock;0;0;0;wine_maker;successors;8;organic
12;rootstock;1;0;1;wine_maker;successors;12;conventional
13;rootstock;1;0;1;wine_maker;successors;11;conventional
14;rootstock;1;0;1;wine_maker;successors;12;conventional
15;rootstock;1;0;1;wine_maker;successors;12;conventional
16;rootstock;1;1;2;wine_maker;neo_farmer;19;organic
17;rootstock;3;0;3;wine_maker;neo_farmer;4;organic
18;rootstock;1;0;1;wine_maker;neo_farmer;6;conventional
19;rootstock;1;0;1;wine_maker;neo_farmer;12;conventional
20;rootstock;2;0;2;wine_maker;neo_farmer;5;conventional
21;rootstock;2;0;2;wine_maker;successors;9;organic
22;rootstock;1;0;1;wine_maker;neo_farmer;4;organic
23;rootstock;4;0;4;wine_maker;neo_farmer;5;organic
24;rootstock;0;0;0;wine_maker;neo_farmer;6;organic
25;rootstock;3;0;3;wine_maker;neo_farmer;5;organic
26;rootstock;5;0;5;grape_grower;neo_farmer;11;conventional
27;rootstock;1;0;1;grape_grower;successors;13;conventional
28;rootstock;1;0;1;grape_grower;successors;7;conventional
29;rootstock;0;0;0;grape_grower;successors;15;conventional
30;rootstock;1;2;3;grape_grower;successors;9;conventional
31;rootstock;1;0;1;grape_grower;successors;6;conventional
32;rootstock;1;0;1;wine_maker;neo_farmer;6;organic
33;rootstock;1;0;1;wine_maker;successors;9;organic
34;rootstock;0;0;0;wine_maker;successors;5;organic
35;rootstock;1;0;1;wine_maker;neo_farmer;6;organic
36;rootstock;1;0;1;grape_grower;successors;9;organic
37;rootstock;4;0;4;grape_grower;successors;12;conventional
38;rootstock;4;0;4;grape_grower;neo_farmer;12;conventional
39;rootstock;0;0;0;grape_grower;successors;12;conventional
40;rootstock;3;0;3;grape_grower;neo_farmer;7;organic
41;rootstock;2;0;2;grape_grower;successors;13;conventional
42;rootstock;0;0;0;grape_grower;successors;10;organic
43;rootstock;2;1;3;grape_grower;successors;2;conventional
44;rootstock;1;0;1;grape_grower;neo_farmer;8;conventional
45;rootstock;1;0;1;grape_grower;successors;9;conventional
46;rootstock;2;0;2;grape_grower;successors;9;conventional
47;rootstock;2;0;2;grape_grower;successors;11;organic
48;rootstock;1;0;1;grape_grower;successors;10;conventional
49;rootstock;1;0;1;grape_grower;successors;10;conventional
50;rootstock;3;0;3;grape_grower;successors;9;conventional
51;rootstock;2;0;2;grape_grower;neo_farmer;10;organic
52;rootstock;2;0;2;grape_grower;successors;10;conventional
53;rootstock;3;0;3;grape_grower;successors;6;conventional
