id_indiv;crop_diversity_type;in_degree;out_degree;degree;type_farmer;social_background;grape_richness;farm_management
3;variety;7;1;8;wine_maker;successors;10;organic
4;variety;1;0;1;wine_maker;successors;10;organic
5;variety;0;0;0;wine_maker;successors;8;organic
6;variety;0;1;1;wine_maker;successors;13;conventional
7;variety;0;1;1;wine_maker;successors;12;conventional
9;variety;0;2;2;wine_maker;successors;6;organic
10;variety;0;7;7;wine_maker;successors;21;organic
11;variety;0;0;0;wine_maker;successors;8;organic
12;variety;0;0;0;wine_maker;successors;12;conventional
13;variety;0;0;0;wine_maker;successors;11;conventional
14;variety;2;0;2;wine_maker;successors;12;conventional
15;variety;0;0;0;wine_maker;successors;12;conventional
16;variety;4;4;8;wine_maker;neo_farmer;19;organic
17;variety;0;0;0;wine_maker;neo_farmer;4;organic
18;variety;3;0;3;wine_maker;neo_farmer;6;conventional
19;variety;0;0;0;wine_maker;neo_farmer;12;conventional
20;variety;4;0;4;wine_maker;neo_farmer;5;conventional
21;variety;1;0;1;wine_maker;successors;9;organic
22;variety;6;0;6;wine_maker;neo_farmer;4;organic
23;variety;1;1;2;wine_maker;neo_farmer;5;organic
24;variety;3;0;3;wine_maker;neo_farmer;6;organic
25;variety;3;0;3;wine_maker;neo_farmer;5;organic
26;variety;4;1;5;grape_grower;neo_farmer;11;conventional
27;variety;1;0;1;grape_grower;successors;13;conventional
28;variety;2;0;2;grape_grower;successors;7;conventional
29;variety;0;2;2;grape_grower;successors;15;conventional
30;variety;3;0;3;grape_grower;successors;9;conventional
31;variety;1;0;1;grape_grower;successors;6;conventional
32;variety;8;0;8;wine_maker;neo_farmer;6;organic
33;variety;2;0;2;wine_maker;successors;9;organic
34;variety;0;0;0;wine_maker;successors;5;organic
35;variety;3;1;4;wine_maker;neo_farmer;6;organic
36;variety;0;0;0;grape_grower;successors;9;organic
37;variety;4;0;4;grape_grower;successors;12;conventional
38;variety;5;0;5;grape_grower;neo_farmer;12;conventional
39;variety;2;0;2;grape_grower;successors;12;conventional
40;variety;1;1;2;grape_grower;neo_farmer;7;organic
41;variety;3;1;4;grape_grower;successors;13;conventional
42;variety;2;0;2;grape_grower;successors;10;organic
43;variety;3;1;4;grape_grower;successors;2;conventional
44;variety;2;0;2;grape_grower;neo_farmer;8;conventional
45;variety;5;0;5;grape_grower;successors;9;conventional
46;variety;1;0;1;grape_grower;successors;9;conventional
47;variety;0;0;0;grape_grower;successors;11;organic
48;variety;3;0;3;grape_grower;successors;10;conventional
49;variety;3;0;3;grape_grower;successors;10;conventional
50;variety;1;0;1;grape_grower;successors;9;conventional
51;variety;5;0;5;grape_grower;neo_farmer;10;organic
52;variety;4;0;4;grape_grower;successors;10;conventional
53;variety;4;0;4;grape_grower;successors;6;conventional
