id_provider;id_recipient;crop_diversity_type;variety_name;rootstock_name;type_information;knowledge
66;26;variety;egiodola;NA;agronomic_content;Agronomic (climatic requirement)
66;37;rootstock;gamay;fercal;agronomic_content;Soil adaptation (nutrient uptake)
141;37;rootstock;LDL;1103P;agronomic_content;Soil adaptation (unspecified)
109;15;clone;merlot;NA;agronomic_content;Agronomic (climatic requirement)
128;38;rootstock;merlot;110R;agronomic_content;Soil adaptation (drought)
129;38;rootstock;merlot;110R;agronomic_content;Soil adaptation (drought)
134;5;rootstock;NA;140Ru;agronomic_content;Soil adaptation (pH)
134;5;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
59;21;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
139;23;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
57;23;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
1;23;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
136;4;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
60;4;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
141;19;rootstock;NA;3309C;agronomic_content;Soil adaptation (unspecified)
141;19;rootstock;NA;110R;agronomic_content;Soil adaptation (unspecified)
97;7;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
100;20;rootstock;NA;gravesac;agronomic_content;Soil adaptation (unspecified)
111;20;rootstock;NA;3309C;agronomic_content;Soil adaptation (unspecified)
16;22;rootstock;NA;41BMGt;agronomic_content;Soil adaptation (pH)
128;17;rootstock;NA;1103P;agronomic_content;Soil adaptation (humidity)
128;17;rootstock;NA;1103P;agronomic_content;Soil adaptation (drought)
147;17;rootstock;NA;NA;agronomic_content;Soil adaptation (drought)
147;17;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
147;38;rootstock;NA;110R;agronomic_content;Soil adaptation (drought)
141;12;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
129;13;rootstock;NA;41BMGt;agronomic_content;Soil adaptation (unspecified)
129;13;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
139;32;rootstock;NA;41BMGt;agronomic_content;Soil adaptation (pH)
139;32;rootstock;NA;gravesac;agronomic_content;Soil adaptation (pH)
95;50;rootstock;NA;gravesac;agronomic_content;Soil adaptation (unspecified)
139;48;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
139;48;clone;NA;NA;agronomic_content;Agronomic (climatic requirement)
65;46;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
139;46;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
139;46;rootstock;NA;gravesac;agronomic_content;Soil adaptation (unspecified)
144;45;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
144;45;rootstock;NA;SO4;agronomic_content;Soil adaptation (pH)
2;52;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
60;4;variety;NA;NA;agronomic_content;Agronomic (climatic requirement)
134;52;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
129;53;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
128;51;rootstock;NA;44-53M;agronomic_content;Soil adaptation (nutrient uptake)
128;51;rootstock;NA;RSB1;agronomic_content;Soil adaptation (nutrient uptake)
134;25;rootstock;NA;gravesac;agronomic_content;Soil adaptation (pH)
134;25;rootstock;NA;gravesac;agronomic_content;Soil adaptation (unspecified)
139;15;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
141;14;rootstock;NA;41BMGt;agronomic_content;Soil adaptation (unspecified)
141;14;rootstock;NA;110R;agronomic_content;Soil adaptation (unspecified)
66;40;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
132;40;rootstock;NA;fercal;agronomic_content;Soil adaptation (pH)
66;30;rootstock;NA;110R;agronomic_content;Soil adaptation (drought)
129;44;rootstock;NA;1103P;agronomic_content;Soil adaptation (unspecified)
129;44;rootstock;NA;gravesac;agronomic_content;Soil adaptation (unspecified)
129;44;rootstock;NA;SO4;agronomic_content;Soil adaptation (unspecified)
141;28;rootstock;NA;3309C;agronomic_content;Soil adaptation (unspecified)
141;28;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
66;26;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
75;26;rootstock;NA;44-53M;agronomic_content;Resistance to soil pests
141;26;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
129;26;rootstock;NA;NA;agronomic_content;Soil adaptation (unspecified)
66;31;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
66;31;rootstock;NA;SO4;agronomic_content;Soil adaptation (unspecified)
134;41;rootstock;NA;1103P;agronomic_content;Soil adaptation (drought)
67;27;rootstock;NA;fercal;agronomic_content;Soil adaptation (unspecified)
138;35;rootstock;prunelart;fercal;agronomic_content;Soil adaptation (unspecified)
138;35;rootstock;prunelart;SO4;agronomic_content;Soil adaptation (unspecified)
144;37;rootstock;sauvignon;SO4;agronomic_content;Soil adaptation (unspecified)
141;37;rootstock;syrah;RSB1;agronomic_content;Soil adaptation (pH)
118;32;variety;bouysselet;NA;agronomic_content;Agronomic (unspecified)
118;32;variety;bouysselet;NA;agronomic_content;Agronomic (yield)
134;33;clone;braucol;NA;agronomic_content;Agronomic (plant architecture)
134;33;clone;braucol;NA;agronomic_content;Agronomic (yield)
129;40;clone;braucol;NA;agronomic_content;Agronomic (yield)
129;26;variety;braucol_x_disease-resistant_cepage;NA;agronomic_content;Agronomic (yield)
142;53;variety;cabernet_sauvignon;NA;agronomic_content;Agronomic (yield)
145;37;variety;caladoc;NA;agronomic_content;Agronomic (yield)
119;32;variety;camaralet;NA;agronomic_content;Agronomic (unspecified)
117;16;variety;local_cepages;NA;agronomic_content;Agronomic (unspecified)
55;16;variety;local_cepages;NA;agronomic_content;Agronomic (unspecified)
141;6;clone;chardonnay;NA;agronomic_content;Agronomic (yield)
141;6;rootstock;chardonnay;NA;agronomic_content;Interactions with the graft (yield)
129;6;clone;chardonnay;NA;agronomic_content;Agronomic (yield)
129;6;rootstock;chardonnay;SO4;agronomic_content;Interactions with the graft (yield)
123;48;variety;colombard;NA;agronomic_content;Agronomic (unspecified)
