id_donneur;id_receveur;crop_diversity_type
66;26;variety
66;37;rootstock
141;37;rootstock
109;15;clone
128;38;rootstock
129;38;rootstock
134;5;rootstock
59;21;rootstock
139;23;rootstock
57;23;rootstock
1;23;rootstock
136;4;rootstock
60;4;rootstock
141;19;rootstock
97;7;rootstock
100;20;rootstock
111;20;rootstock
16;22;rootstock
128;17;rootstock
147;17;rootstock
147;38;rootstock
141;12;rootstock
129;13;rootstock
139;32;rootstock
95;50;rootstock
139;48;rootstock
139;48;clone
65;46;rootstock
139;46;rootstock
144;45;rootstock
2;52;rootstock
60;4;variety
134;52;rootstock
129;53;rootstock
128;51;rootstock
134;25;rootstock
139;15;rootstock
141;14;rootstock
66;40;rootstock
132;40;rootstock
66;30;rootstock
129;44;rootstock
141;28;rootstock
66;26;rootstock
75;26;rootstock
141;26;rootstock
129;26;rootstock
66;31;rootstock
134;41;rootstock
67;27;rootstock
138;35;rootstock
144;37;rootstock
118;32;variety
134;33;clone
129;40;clone
129;26;variety
142;53;variety
145;37;variety
119;32;variety
117;16;variety
55;16;variety
141;6;clone
141;6;rootstock
129;6;clone
129;6;rootstock
123;48;variety
65;46;variety
126;45;variety
85;45;variety
87;42;variety
66;37;variety
134;7;clone
138;34;clone
29;26;variety
88;45;clone
15;33;clone
107;35;variety
3;35;variety
113;35;variety
68;38;variety
43;106;variety
84;30;clone
101;14;variety
114;14;variety
141;27;clone
127;52;clone
129;20;clone
75;21;variety
58;32;variety
9;53;variety
7;53;variety
86;53;variety
146;37;variety
65;48;variety
141;11;clone
128;21;rootstock
141;19;clone
141;12;clone
143;47;clone
143;36;rootstock
144;45;clone
129;53;clone
96;51;rootstock
77;22;variety
124;52;variety
57;52;variety
90;52;variety
141;30;variety
129;30;variety
66;30;clone
129;30;clone
16;102;variety
16;116;variety
26;44;variety
66;43;rootstock
129;29;clone
141;28;clone
66;26;clone
129;26;clone
43;41;rootstock
30;38;rootstock
30;26;rootstock
139;20;variety
120;16;variety
141;37;variety
129;33;rootstock
6;43;clone
129;33;variety
10;32;variety
9;50;variety
6;39;variety
41;43;variety
29;42;variety
133;41;variety
92;32;variety
91;32;variety
143;36;clone
56;15;clone
129;18;variety
103;25;variety
80;22;variety
112;22;variety
73;24;variety
98;49;variety
105;49;variety
110;3;variety
132;50;clone
35;24;variety
139;23;clone
129;38;clone
62;25;variety
129;16;rootstock
75;21;clone
137;21;clone
70;23;rootstock
139;4;clone
128;7;clone
99;17;rootstock
129;18;clone
89;10;rootstock
135;10;rootstock
132;9;rootstock
82;9;rootstock
129;9;clone
129;9;rootstock
57;9;rootstock
75;32;clone
65;50;clone
65;50;rootstock
129;50;clone
129;50;rootstock
2;47;rootstock
143;47;rootstock
134;49;clone
134;49;rootstock
129;39;clone
139;46;clone
134;46;clone
147;52;clone
75;52;clone
76;3;variety
81;3;variety
77;3;variety
54;53;clone
54;53;rootstock
64;53;clone
64;53;rootstock
78;3;variety
128;3;variety
104;20;variety
128;51;clone
128;32;variety
103;25;rootstock
134;25;clone
74;25;rootstock
147;40;rootstock
132;40;clone
128;38;clone
66;43;clone
141;43;rootstock
141;43;clone
134;44;clone
75;26;clone
138;42;clone
147;40;clone
79;37;clone
79;37;rootstock
66;41;clone
134;41;clone
129;41;clone
129;18;rootstock
54;48;variety
129;51;variety
57;51;variety
128;37;clone
57;38;variety
66;43;variety
67;43;variety
131;38;variety
66;38;variety
129;38;variety
134;33;variety
23;94;variety
65;49;variety
65;45;variety
66;31;variety
65;39;variety
65;52;variety
65;51;variety
66;30;variety
66;44;variety
66;28;variety
66;27;variety
57;28;variety
118;22;variety
129;25;variety
40;121;variety
10;22;variety
62;20;variety
16;22;variety
16;8;variety
10;23;variety
10;115;variety
10;108;variety
63;51;variety
130;18;variety
66;41;variety
122;40;variety
10;61;variety
10;16;variety
83;32;variety
129;3;variety
129;20;variety
69;45;variety
64;45;variety
125;24;variety
93;26;variety
141;13;clone
129;13;clone
64;18;variety
128;51;variety
63;41;variety
