crop_diversity_type;donor_type;donor_main_type
variety;Coop;Social_relation
rootstock;Coop;Social_relation
rootstock;VN;Social_relation
clone;Farmers-based;Social_relation
rootstock;DC;Material_res
rootstock;IFV;Social_relation
rootstock;VN;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;VN;Social_relation
rootstock;CA;Social_relation
rootstock;AS;Social_relation
rootstock;VN;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;VN;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;DC;Material_res
rootstock;VN;Social_relation
rootstock;VN;Social_relation
rootstock;VN;Social_relation
rootstock;IFV;Social_relation
rootstock;VN;Social_relation
rootstock;Farmers-based;Social_relation
rootstock;VN;Social_relation
clone;VN;Social_relation
rootstock;Coop;Social_relation
rootstock;VN;Social_relation
rootstock;VN;Social_relation
rootstock;AS;Social_relation
variety;Farmers-based;Social_relation
rootstock;VN;Social_relation
rootstock;IFV;Social_relation
rootstock;DC;Material_res
rootstock;VN;Social_relation
rootstock;VN;Social_relation
rootstock;VN;Social_relation
rootstock;Coop;Social_relation
rootstock;DC;Material_res
rootstock;Coop;Social_relation
rootstock;IFV;Social_relation
rootstock;VN;Social_relation
rootstock;Coop;Social_relation
rootstock;DC;Material_res
rootstock;VN;Social_relation
rootstock;IFV;Social_relation
rootstock;Coop;Social_relation
rootstock;VN;Social_relation
rootstock;Coop;Social_relation
rootstock;VN;Social_relation
rootstock;VN;Social_relation
variety;Farmers-based;Social_relation
clone;VN;Social_relation
clone;IFV;Social_relation
variety;IFV;Social_relation
variety;AS;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
clone;VN;Social_relation
rootstock;VN;Social_relation
clone;IFV;Social_relation
rootstock;IFV;Social_relation
variety;Farmers-based;Social_relation
variety;Coop;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
variety;Coop;Social_relation
clone;VN;Social_relation
clone;VN;Social_relation
variety;Farmers-based;Social_relation
clone;Farmers-based;Social_relation
clone;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
variety;Farmers-based;Social_relation
